Image_File,Modality,Bits_Stored,Shape,Original_Size_Bytes,Metadata_Size_Bytes,Parameter_Beta,Parameter_Codec,Stego_Capacity_Bits,Stego_Image_PSNR_dB,Stego_Image_SSIM,Final_Bin_Size_Bytes,CR,Bpp,Encoding_Time_s,Decoding_Time_s,Reversibility_Check
000.dcm,dx_8b,8,1024x1024,1049342,872,0.4,jls,353600,68.06099360369869,0.9999491080155114,307779,3.4094009012960598,2.3481674194335938,0.3712782859802246,0.13730120658874512,True
000.dcm,dx_8b,8,1024x1024,1049342,872,0.4,png,353600,68.06099360369869,0.9999491080155114,580871,1.8064974839508257,4.431694030761719,0.17200493812561035,0.08625483512878418,True
000.dcm,dx_8b,8,1024x1024,1049342,872,0.8,jxl,353600,58.0921925385126,0.9995469997458647,288555,3.636540694148429,2.2014999389648438,1.320852279663086,0.3012974262237549,True
000.dcm,dx_8b,8,1024x1024,1049342,872,0.8,j2k,353600,58.0921925385126,0.9995469997458647,322845,3.250296581951091,2.4631118774414062,0.5648918151855469,0.12667536735534668,True
000.dcm,dx_8b,8,1024x1024,1049342,872,0.8,jls,353600,58.0921925385126,0.9995469997458647,308687,3.3993721795864418,2.3550949096679688,0.5272130966186523,0.15487933158874512,True
000.dcm,dx_8b,8,1024x1024,1049342,872,0.8,png,353600,58.0921925385126,0.9995469997458647,581285,1.8052108690229405,4.434852600097656,0.17217230796813965,0.07731056213378906,True
111.dcm,dx_8b,8,1024x1024,1049364,913,0.4,jxl,463488,68.02150628344111,0.9999335829008397,326198,3.2169541198903735,2.4886932373046875,1.4028780460357666,0.25593113899230957,True
111.dcm,dx_8b,8,1024x1024,1049364,913,0.4,j2k,463488,68.02150628344111,0.9999335829008397,348881,3.007799220937798,2.6617507934570312,0.49593305587768555,0.11092495918273926,True
111.dcm,dx_8b,8,1024x1024,1049364,913,0.4,jls,463488,68.02150628344111,0.9999335829008397,343159,3.0579527274528715,2.6180953979492188,0.38170719146728516,0.10942864418029785,True
111.dcm,dx_8b,8,1024x1024,1049364,913,0.4,png,463488,68.02150628344111,0.9999335829008397,566491,1.8523930653796794,4.321983337402344,0.1607966423034668,0.08379411697387695,True
111.dcm,dx_8b,8,1024x1024,1049364,913,0.8,jxl,463488,57.158887998063996,0.9993922964961264,327223,3.206877267184764,2.4965133666992188,1.5702414512634277,0.28700852394104004,True
111.dcm,dx_8b,8,1024x1024,1049364,913,0.8,j2k,463488,57.158887998063996,0.9993922964961264,349714,3.0006348044401996,2.6681060791015625,0.5283782482147217,0.16553902626037598,True
111.dcm,dx_8b,8,1024x1024,1049364,913,0.8,jls,463488,57.158887998063996,0.9993922964961264,344028,3.050228469775716,2.624725341796875,0.41720032691955566,0.2687203884124756,True
111.dcm,dx_8b,8,1024x1024,1049364,913,0.8,png,463488,57.158887998063996,0.9993922964961264,566830,1.8512852177901664,4.3245697021484375,0.1635909080505371,0.0875086784362793,True
222.dcm,dx_8b,8,1024x1024,1049328,843,0.4,jxl,444496,65.22830151407864,0.9999652826827686,424714,2.470669674180743,3.2403106689453125,1.5756521224975586,0.3568758964538574,True
