Image_File,Modality,Bits_Stored,Original_Size_Bytes,Metadata_Size_Bytes,Message_Size_Bits,Beta,Codec,Percentile,PSNR_dB,SSIM,MSE,Restored_MSE,Final_Bin_Size_Bytes,Bpp,CR,Encoding_Speed_ms_MB,Decoding_Speed_ms_MB,Total_Encoding_Time_s,Decoding_Time_s,Reversibility_Check,Reversibility_Message
006.dcm,DX,15,13266114,9701,77608,0.2,JPEG XL,90,72.74819700773756,0.9999635341882888,5.311048889525792e-08,0.0,8534724,10.29647694678775,1.5543694207334648,63.61597299706606,13.416909428035972,0.8048408031463623,0.16974472999572754,True,True
006.dcm,DX,15,13266114,9701,77608,0.2,JPEG 2000,90,72.74819700773756,0.9999635341882888,5.311048889525792e-08,0.0,8779770,10.592105779061948,1.5109865064802381,71.93419640446328,24.389866542681602,0.9100792407989502,0.30856966972351074,True,True
006.dcm,DX,15,13266114,9701,77608,0.2,JPEG-LS,90,72.74819700773756,0.9999635341882888,5.311048889525792e-08,0.0,8599041,10.37407037661472,1.542743429180068,67.96327093224134,21.907150051627777,0.8598408699035645,0.2771594524383545,True,True
006.dcm,DX,15,13266114,9701,77608,0.8,JPEG XL,90,50.2777308344354,0.996921170019777,9.38052006086741e-06,0.0,8551238,10.316399796114718,1.5513676499239057,77.48031940627074,12.607365653574211,0.9802463054656982,0.15950274467468262,True,True
006.dcm,DX,15,13266114,9701,77608,0.8,JPEG 2000,90,50.2777308344354,0.996921170019777,9.38052006086741e-06,0.0,8792427,10.607375459571298,1.5088113896197262,75.98638154323112,23.97846121328371,0.9613456726074219,0.30336475372314453,True,True
006.dcm,DX,15,13266114,9701,77608,0.8,JPEG-LS,90,50.2777308344354,0.996921170019777,9.38052006086741e-06,0.0,8612153,10.389888979035405,1.5403946028362479,77.75820786705134,22.240650125575584,0.9837620258331299,0.28137874603271484,True,True
002.dcm,DX,15,13266146,9737,77896,0.2,JPEG XL,90,72.76274170558128,0.9999816316512183,5.293291723327277e-08,0.0,9160587,11.051531703256433,1.4481764105291506,64.7164594751181,13.001025316621723,0.8187656402587891,0.16448354721069336,True,True
002.dcm,DX,15,13266146,9737,77896,0.2,JPEG 2000,90,72.76274170558128,0.9999816316512183,5.293291723327277e-08,0.0,9428851,11.375171236491846,1.4069737659445463,72.7523464614365,24.664567237538318,0.9204323291778564,0.3120458126068115,True,True
002.dcm,DX,15,13266146,9737,77896,0.2,JPEG-LS,90,72.76274170558128,0.9999816316512183,5.293291723327277e-08,0.0,9247088,11.15588839392084,1.4346295828481355,64.93242272473105,21.163173539624847,0.821497917175293,0.2677476406097412,True,True
002.dcm,DX,15,13266146,9737,77896,0.8,JPEG XL,90,50.12220276643155,0.9982145246666521,9.72253965928123e-06,0.0,9170080,11.062984265243893,1.4466772372760106,78.7550129479956,11.93129112253099,0.996375560760498,0.15094971656799316,True,True
002.dcm,DX,15,13266146,9737,77896,0.8,JPEG 2000,90,50.12220276643155,0.9982145246666521,9.72253965928123e-06,0.0,9435375,11.383041932205128,1.4060009273611276,79.48723389596346,25.02533516516402,1.0056393146514893,0.31661009788513184,True,True
002.dcm,DX,15,13266146,9737,77896,0.8,JPEG-LS,90,50.12220276643155,0.9982145246666521,9.72253965928123e-06,0.0,9255539,11.166083864410256,1.4333196586390053,76.88076853669483,22.455768238944454,0.972663402557373,0.2841010093688965,True,True
009.dcm,DX,15,13266094,9734,77872,0.2,JPEG XL,90,72.80883131291326,0.9999720615709206,5.237413564998413e-08,0.0,9229126,11.13421864585187,1.437416067350256,63.227276996529646,13.030097630847482,0.799921989440918,0.16485071182250977,True,True
009.dcm,DX,15,13266094,9734,77872,0.2,JPEG 2000,90,72.80883131291326,0.9999720615709206,5.237413564998413e-08,0.0,9472505,11.427836373013552,1.4004842436082114,74.92567141466056,23.50637271226934,0.9479246139526367,0.2973916530609131,True,True
009.dcm,DX,15,13266094,9734,77872,0.2,JPEG-LS,90,72.80883131291326,0.9999720615709206,5.237413564998413e-08,0.0,9313759,11.236321740625348,1.4243544416384406,66.45970924071547,21.82149470673131,0.8408172130584717,0.2760753631591797,True,True
009.dcm,DX,15,13266094,9734,77872,0.8,JPEG XL,90,50.72930066706233,0.9976888538851834,8.45414969140511e-06,0.0,9236457,11.143062923944155,1.43627518647031,78.34936191466757,12.870046752269356,0.9912395477294922,0.1628258228302002,True,True
009.dcm,DX,15,13266094,9734,77872,0.8,JPEG 2000,90,50.72930066706233,0.9976888538851834,8.45414969140511e-06,0.0,9478369,11.434910830349953,1.3996178034427653,78.007814508174,23.548415984388473,0.9869184494018555,0.29792356491088867,True,True
009.dcm,DX,15,13266094,9734,77872,0.8,JPEG-LS,90,50.72930066706233,0.9976888538851834,8.45414969140511e-06,0.0,9321006,11.245064679287848,1.4232470186158017,79.40570148229011,22.209005152533972,1.0046038627624512,0.2809779644012451,True,True
000.dcm,DX,12,13266236,9766,78128,0.2,JPEG XL,90,70.01553553717444,0.9999266713363325,9.964292008895708e-08,0.0,5480495,6.611788550454067,2.4206273338448443,49.281951564859845,12.59530208870097,0.6234989166259766,0.15935158729553223,True,True
000.dcm,DX,12,13266236,9766,78128,0.2,JPEG 2000,90,70.01553553717444,0.9999266713363325,9.964292008895708e-08,0.0,5569510,6.719178185481317,2.3819395243028563,48.82863911059626,19.781025303635484,0.6177637577056885,0.250262975692749,True,True
000.dcm,DX,12,13266236,9766,78128,0.2,JPEG-LS,90,70.01553553717444,0.9999266713363325,9.964292008895708e-08,0.0,5481517,6.613021513516448,2.4201760206161906,52.51710055512355,18.725733508736013,0.6644289493560791,0.23691177368164062,True,True
000.dcm,DX,12,13266236,9766,78128,0.8,JPEG XL,90,47.92137966237534,0.9960235758331831,1.613845790463339e-05,0.0,5500606,6.636050898935031,2.4117771750967076,57.164556698674744,12.563755838506115,0.7232270240783691,0.1589524745941162,True,True
